O_city,D_city, flow
9,36,10.04
9,37,19.4
9,38,25.68
9,39,42.48
9,40,71.8
9,41,21.85
9,42,21.38
9,43,62.55
9,44,25.7
9,45,93.35
9,46,20.08
9,47,3.74
9,48,5.59
9,49,35.32
9,50,23.93
9,51,10.57
9,52,16.91
9,53,9.3
9,54,110.05
9,55,51.57
9,56,125.76
9,57,29.48
9,58,115.86
9,59,10.58
9,60,21.32
9,61,2.48
9,62,32.23
9,63,42.93
9,64,46.89
9,65,4.37
9,66,94.6
9,67,150.18
9,69,11.2
9,70,59.09
9,71,18.68
9,72,111.45
9,73,36.38
9,74,39.24
9,75,13.14
9,76,36.47
9,77,43.27
9,78,91.03
9,79,11.84
9,80,80.36
9,81,93.39
9,82,94.02
9,83,27.73
9,84,13.16
9,85,25.08
9,86,53.98
9,87,10.65
9,88,59.68
9,89,18.18
9,90,36.66
9,91,40.26
9,92,28.92
9,93,56.28
9,94,18.76
9,95,91.57
9,97,6.88
9,98,42.25
9,99,16.26
9,100,23.2
9,101,13.65
9,102,55.85
9,103,95.49
9,104,40.54
9,105,47.73
9,106,17.59
9,107,47.42
9,108,62.95
9,109,48.32
9,110,29.73
9,111,16.84
9,112,6.23
9,113,140.32
9,114,8.11
9,115,34.7
9,116,77.78
9,117,69.5
9,118,14.95
9,119,86.02
9,120,25.03
9,121,33.73
9,123,65.97
9,124,9.95
9,125,8.75
9,126,20.13
9,127,38.86
9,128,46.12
9,129,21.82
9,130,15.05
9,131,22.55
9,132,17.48
9,133,9.99
9,134,22.64
9,135,17.43
9,136,11.89
9,137,76.72
9,138,49.97
9,139,85.52
9,140,12.43
9,141,15
9,142,9.33
9,143,21.3
9,144,4.42
9,145,14.28
9,147,68.88
9,148,40.6
9,149,73.26
9,150,37.82
9,151,11.22
9,152,4.34
9,153,11.86
9,154,6.83
9,155,6.22
9,156,2.49
9,157,22.57
9,158,123.14
9,159,100.7
10,0,35.18
10,1,91
10,2,58.82
10,3,162.04
10,4,40.67
10,5,38.46
10,6,77.64
10,7,66.46
10,8,50.01
10,9,20.68
10,10,531.66
10,12,45.9
10,13,47.97
10,14,24.15
10,15,50.24
10,16,163.17
10,17,8.71
10,18,99.61
10,19,54.42
10,20,47.91
10,21,172.54
10,22,56.92
10,23,33.64
10,24,80.09
10,25,62.65
10,26,25.72
10,27,62.11
10,28,77.02
10,29,30.73
10,30,182.37
10,31,87.6
10,32,23.78
10,33,85.49
10,34,26.18
10,35,123.42
10,36,54.99
10,37,155.35
10,38,45.42
10,39,84.11
10,40,96.61
10,41,33.61
10,43,23.22
10,44,57.36
10,45,143.76
10,46,70
10,47,15.66
10,48,29.47
10,49,70.86
10,50,61.37
10,51,21.86
10,52,55.04
10,53,123.91
10,54,142.5
10,55,78.34
10,56,83.88
10,57,115.92
10,58,100.97
10,59,19.96
10,60,80.1
10,61,14.35
10,62,81.2
10,63,70.18
10,64,98.96
10,65,5.59
10,66,144.65
10,67,147.27
10,69,28.8
10,70,114.38
10,71,49.86
10,72,157.7
10,73,61.71
10,74,71.35
10,75,28.26
10,76,116.21
10,77,82.6
10,78,112.1
10,79,28.24
10,80,57.02
10,81,130.7
10,82,26.27
10,83,50.66
10,84,36.71
10,85,122.82
10,86,81.03
10,87,24.98
10,88,71.3
10,89,131.89
10,90,83.55
10,91,85.8
10,92,71.32
10,93,86.04
10,94,36.43
10,95,128.9
10,97,14.95
10,98,81.22
10,99,66.84
10,100,61.76
10,101,108.89
10,102,107.42
10,103,37.82
10,104,77.41
10,105,74.58
10,106,36.5
10,107,75.3
10,108,72.63
10,109,83.25
10,110,66.71
10,111,34.68
10,112,26.29
10,113,75.28
10,114,20.58
10,115,84
10,116,26.98
10,117,106
10,118,35.43
10,119,34.38
10,120,59.62
10,121,56.03
10,123,109.7
10,124,81.74
10,125,21.2
10,126,54.04
10,128,97.09
10,129,79.99
10,130,31.55
10,131,48.88
10,132,42.77
10,133,17.41
10,134,37.01
10,135,62.53
10,136,27.67
10,137,115.55
10,138,81.22
10,139,224.39
10,140,114.93
10,141,26.95
10,142,31.66
10,143,50.25
10,144,8.12
10,145,38.1
10,146,59.09
10,147,107.79
10,148,70.61
10,149,116.97
10,150,78.59
10,151,25.04
10,152,11.9
10,153,23.26
10,154,28.89
10,155,16.97
10,156,14.99
10,157,51.21
10,158,180.07
10,159,32.23
11,0,30.82
11,1,26.47
11,2,51.45
11,3,33.18
11,4,34.99
11,5,151.9
11,6,74.35
11,7,56.79
11,8,128.21
11,9,18.78
11,10,37.59
11,11,468.9
11,12,8.72
11,13,31.34
11,14,89.49
11,15,58.57
11,16,26.88
11,17,8.17
11,18,123.24
11,19,9.97
11,20,28.75
11,21,144.95
11,22,59.62
11,23,27.11
11,24,73.72
11,25,48.08
11,26,20.57
11,27,39.08
11,28,73.58
11,29,38.17
11,30,126.48
11,31,63.18
11,32,33.12
