Month, ocity_name, dcity_name, Ratio of migration from B to A over total migration into A_monthly average, Ratio of migration from A to B over total migration out of A_monthly 
23-Jun,Qinhuangdao,Rizhao,0.066,0.05
23-Jun,Qinhuangdao,Nantong,0.046,0.048
23-Jun,Qinhuangdao,Lianyungang,0.06,0.046666667
23-Jun,Qinhuangdao,Jiaxing,0.05,0.04
23-Jun,Handan,Xingtai,18.20916667,18.43916667
23-Jun,Handan,Shijiazhuang,13.16583333,12.09833333
23-Jun,Handan,Beijing,11.43083333,8.979166667
23-Jun,Handan,Anyang,7.970833333,7.781666667
23-Jun,Handan,Tianjin,5.9825,5.48
23-Jun,Handan,Liaocheng,4.689166667,4.900833333
23-Jun,Handan,Changzhi,2.4775,3.163333333
23-Jun,Handan,Baoding,3.050833333,2.925
23-Jun,Handan,Puyang,2.645833333,2.503333333
23-Jun,Handan,Hengshui,1.415833333,1.914166667
23-Jun,Handan,Zhengzhou,1.336666667,1.66
23-Jun,Handan,Cangzhou,1.439166667,1.336666667
23-Jun,Handan,Jinzhong,1.281666667,1.290833333
23-Jun,Handan,Langfang,1.3575,1.1
23-Jun,Handan,Jinan,0.970833333,1.090833333
23-Jun,Handan,Qingdao,0.81,0.915833333
23-Jun,Handan,Xinxiang,0.779166667,0.901666667
23-Jun,Handan,Tangshan,0.980833333,0.828333333
23-Jun,Handan,Tai'an,0.374166667,0.708333333
23-Jun,Handan,Heze,0.563333333,0.656666667
23-Jun,Handan,Jining,0.475833333,0.638333333
23-Jun,Handan,Taiyuan,0.6525,0.635833333
23-Jun,Handan,Xinzhou,0.269166667,0.58
23-Jun,Handan,Xi'an,0.55,0.553333333
23-Jun,Handan,Dezhou,0.48,0.525833333
23-Jun,Handan,Linyi,0.375,0.5025
23-Jun,Handan,Weifang,0.384166667,0.495
23-Jun,Handan,Lvliang,0.408333333,0.491666667
23-Jun,Handan,Linfen,0.441666667,0.489166667
23-Jun,Handan,Qinhuangdao,0.4725,0.479166667
23-Jun,Handan,Zhangjiakou,0.375833333,0.449166667
23-Jun,Handan,Zibo,0.2725,0.4475
23-Jun,Handan,Luoyang,0.350833333,0.426666667
23-Jun,Handan,Yulin,0.176666667,0.426666667
23-Jun,Handan,Shanghai,0.5175,0.414166667
