ocity,ox,oy,dcity,dx,dy,strength(%%)
Xiangxi,109.7269,28.6947,Suzhou,117.2108,33.8587,0.0
Xiangxi,109.7269,28.6947,Yangquan,113.499,38.0635,0.0
Xiangxi,109.7269,28.6947,Chizhou,117.3656,30.2838,0.0
Xiangxi,109.7269,28.6947,Binzhou,117.8377,37.5316,0.0
Xiangxi,109.7269,28.6947,Sanming,117.3959,26.2987,0.00105
Xiangxi,109.7269,28.6947,Shuozhou,112.6415,39.6173,0.0
Xiangxi,109.7269,28.6947,Cangzhou,116.7533,38.2668,0.0
Xiangxi,109.7269,28.6947,Shanghai,121.4691,31.2401,0.0
Xiangxi,109.7269,28.6947,Qianjiang,112.7561,30.339,0.00849
Taizhou,120.0567,32.5714,Tai'an,117.0258,36.001,0.0
Taizhou,120.0567,32.5714,Xiangxi,109.7269,28.6947,0.0
Taizhou,120.0567,32.5714,Taizhou,120.0567,32.5714,0.0
Taizhou,120.0567,32.5714,Chenzhou,113.1367,25.8147,0.0
Taizhou,120.0567,32.5714,Ankang,108.9265,32.7572,0.0
Taizhou,120.0567,32.5714,Luohe,113.8999,33.6557,0.0
Taizhou,120.0567,32.5714,Linyi,118.2805,35.3091,0.0
Taizhou,120.0567,32.5714,Yancheng,120.1829,33.509,0.0
Taizhou,120.0567,32.5714,Xinxiang,114.0885,35.2621,0.0
Taizhou,120.0567,32.5714,Jingmen,112.6083,31.069,0.0
Taizhou,120.0567,32.5714,Hengyang,112.5744,26.7944,0.0
Taizhou,120.0567,32.5714,Zhumadian,114.1509,32.9234,0.0
Taizhou,120.0567,32.5714,Yingtan,117.1086,28.224,0.0
Taizhou,120.0567,32.5714,Huangshi,115.0253,29.9268,0.0
Taizhou,120.0567,32.5714,Sanmenxia,111.1059,34.3609,0.0
Taizhou,120.0567,32.5714,Luan,116.2297,31.66,0.0
Taizhou,120.0567,32.5714,Zhuzhou,113.5164,27.1198,0.0
Taizhou,120.0567,32.5714,Shangluo,109.9013,33.6471,0.0
Taizhou,120.0567,32.5714,Luoyang,112.0312,34.2911,0.0
Taizhou,120.0567,32.5714,Xinyu,114.8526,27.8452,0.0
Taizhou,120.0567,32.5714,Anqing,116.4867,30.576,0.0
Taizhou,120.0567,32.5714,Beijing,116.4123,40.1855,0.0
Taizhou,120.0567,32.5714,Zhangjiakou,115.0324,40.8651,0.0
Taizhou,120.0567,32.5714,Xuancheng,118.8522,30.6862,0.0
Taizhou,120.0567,32.5714,Xiangyang,111.9371,31.9307,0.0
Taizhou,120.0567,32.5714,Shaoxing,120.6365,29.7352,0.0
Taizhou,120.0567,32.5714,Huanggang,115.3397,30.7159,0.0
Taizhou,120.0567,32.5714,Hengshui,115.8232,37.7625,0.0
Taizhou,120.0567,32.5714,Weihai,121.9831,37.1203,0.0
Taizhou,120.0567,32.5714,Heze,115.6924,35.1504,0.0
Taizhou,120.0567,32.5714,Zhangjiajie,110.5256,29.3936,0.0
Taizhou,120.0567,32.5714,Quanzhou,118.2573,25.2001,0.0
Taizhou,120.0567,32.5714,Huainan,116.7684,32.472,0.0
Taizhou,120.0567,32.5714,Yichang,111.1352,30.7469,0.0
Taizhou,120.0567,32.5714,Bozhou,116.1807,33.4355,0.0
Taizhou,120.0567,32.5714,Zhengzhou,113.469,34.6279,0.0
Taizhou,120.0567,32.5714,Zibo,118.0533,36.6077,0.0
Taizhou,120.0567,32.5714,Shaoyang,110.8747,26.9136,0.0
Taizhou,120.0567,32.5714,Anyang,114.3538,35.8764,0.0
Taizhou,120.0567,32.5714,Taiyuan,112.3161,37.9592,0.0
Taizhou,120.0567,32.5714,Xuzhou,117.5166,34.3561,0.0
Taizhou,120.0567,32.5714,Dezhou,116.6464,37.2477,0.0
Taizhou,120.0567,32.5714,Puyang,115.2825,35.8085,0.0
Taizhou,120.0567,32.5714,Ezhou,114.7558,30.3287,0.0
Taizhou,120.0567,32.5714,Hanzhong,107.1015,33.0906,0.0
Taizhou,120.0567,32.5714,Hangzhou,119.47,29.9003,0.0
Taizhou,120.0567,32.5714,Ji'an,114.8247,26.9736,0.0
Taizhou,120.0567,32.5714,Jiyuan,112.3919,35.1003,0.0
Taizhou,120.0567,32.5714,Zhoukou,114.8778,33.7218,0.0
Taizhou,120.0567,32.5714,Jingdezhen,117.27,29.3073,0.0
Taizhou,120.0567,32.5714,Zhangzhou,117.443,24.3664,0.0
Taizhou,120.0567,32.5714,Nanping,118.1421,27.339,0.0
Taizhou,120.0567,32.5714,Langfang,116.628,39.2592,0.0
Taizhou,120.0567,32.5714,Loudi,111.6143,27.7392,0.0
